cod_dpto,Departamento,Ubicacion,Lat,Long
5,Antioquia,"Antioquia, Colombia","6,216667","-75,566667"
8,Atlántico,"Atlántico, Colombia","10,983333","-74,783333"
11,"Bogotá, D.C.","Bogotá, D.C., Colombia","4,598889","-74,080833"
13,Bolívar,"Bolívar, Colombia","10,4","-75,5"
15,Boyacá,"Boyacá, Colombia","5,533333","-73,366667"
17,Caldas,"Caldas, Colombia","5,1","-75,55"
18,Caquetá,"Caquetá, Colombia","1,616667","-75,6"
19,Cauca,"Cauca, Colombia","2,45","-76,616667"
20,Cesar,"Cesar, Colombia","10,483333","-73,25"
23,Córdoba,"Córdoba, Colombia","8,75","-75,883333"
25,Cundinamarca,"Cundinamarca, Colombia","5,02547142431","-73,9944757558"
27,Chocó,"Chocó, Colombia","5,7","-76,666667"
41,Huila,"Huila, Colombia","2,998611","-75,304444"
44,La Guajira,"La Guajira, Colombia","11,55","-72,9"
47,Magdalena,"Magdalena, Colombia","11,241944","-74,205278"
50,Meta,"Meta, Colombia","4,15","-73,633333"
52,Nariño,"Nariño, Colombia","1,166667","-77,266667"
54,Norte de Santander,"Norte de Santander, Colombia","7,9","-72,5"
63,Quindío,"Quindío, Colombia","4,533333","-75,7"
66,Risaralda,"Risaralda, Colombia","4,816667","-75,7"
68,Santander,"Santander, Colombia","7,133333",-73
70,Sucre,"Sucre, Colombia","9,3","-75,4"
73,Tolima,"Tolima, Colombia","4,433333","-75,233333"
76,Valle del Cauca,"Valle del Cauca, Colombia","3,416667","-76,516667"
81,Arauca,"Arauca, Colombia","7,083333","-70,75"
85,Casanare,"Casanare, Colombia","5,35","-72,41"
86,Putumayo,"Putumayo, Colombia","1,15","-76,616667"
88,"San Andrés, Providencia y Santa Catalina","San Andrés, Providencia y Santa Catalina, Colombia","12,55","-81,716667"
91,Amazonas,"Amazonas, Colombia","-4,205278","-69,932778"
94,Guainía,"Guainía, Colombia","3,865278","-67,923889"
95,Guaviare,"Guaviare, Colombia","2,566667","-72,633333"
97,Vaupés,"Vaupés, Colombia","1,2","-70,166667"
99,Vichada,"Vichada, Colombia","6,183333","-67,466667"
